Field	Type	Null	Key	Default	Extra
lng_code	varchar(60)	NO	PRI		
lng_st	varchar(20)	NO	PRI		
lng_code	lng_st
A1	WA
A10	WA
A100	WA
A101	WA
A102	WA
A103	WA
A104	WA
A105	WA
A106	WA
A107	WA
A108	WA
A109	WA
A11	WA
A110	WA
A111	WA
A112	WA
A113	
A114	
A115	
A116	
A117	
A118	WA
A119	
A12	WA
A120	
A121	WA
A122	
A123	
A124	WA
A13	WA
A14	WA
A16	WA
A17	WA
A18	
A19	
A2	WA
A20	WA
A21	WA
A22	WA
A23	WA
A24	WA
A25	
A26	WA
A27	WA
A28	WA
A29	WA
A3	WA
A30	WA
A31	WA
A32	WA
A33	WA
A34	WA
A35	WA
A36	
A37	WA
A38	WA
A38.1	
A39	WA
A39.1	
A4	WA
A40	
A41	
A42	
A43	WA
A44	
A48	WA
A49	WA
A5	WA
A50	WA
A51	WA
A51.1	WA
A52	WA
A53	WA
A54	WA
A55	WA
A56	WA
A58	WA
A59	WA
A6	WA
A60	WA
A61	WA
A62	WA
A63	
A64	WA
A65	WA
A66	WA
A67	WA
A68	WA
A69	WA
A7	WA
A70	
A71	WA
A72	WA
A73	WA
A74	WA
A75	WA
A76	WA
A77	WA
A78	WA
A79	WA
A8	WA
A80	NT
A80	SA
A80	WA
A81	
A82	WA
A83	WA
A84	
A85	WA
A86	WA
A87	WA
A88	WA
A89	WA
A9	WA
A90	
A91	WA
A92	WA
A93	WA
A94	WA
A95	WA
A96	WA
A97	WA
A98	
A99	WA
C1	SA
C10	NT
C11	
C12	NT
C12	QLD
C13	NT
C14	NT
C15	NT
C15.1	NT
C16	NT
C17	NT
C18	NT
C19	NT
C2	SA
C20	NT
C21	
C22	NT
C23	NT
C24	
C25	NT
C26	NT
C27	NT
C28	NT
C29	NT
C29	SA
C3	SA
C30	NT
C31	NT
C32	NT
C33	NT
C34	NT
C35	NT
C36	NT
C37	NT
C38	NT
C39	NT
C4	SA
C40	NT
C41	NT
C42	NT
C43	NT
C44	NT
C45	NT
C46	NT
C47	NT
C48	NT
C48	SA
C5	SA
C6	NT
C6	SA
C6	WA
C7	
C7.1	NT
C8	NT
C8.1	NT
C9	
D1	NSW
D1	VIC
D10	NSW
D11	NSW
D12	NSW
D13	
D14	NSW
D14	SA
D15	NSW
D15	QLD
D16	NSW
D16	SA
D17	NSW
D17	SA
D18	NSW
D19	NSW
D2	NSW
D2	VIC
D20	NSW
D21	NSW
D22	NSW
D23	NSW
D24	NSW
D25	NSW
D26	NSW
D27	NSW
D27	QLD
D28	NSW
D29	QLD
D3	NSW
D30	QLD
D31	NSW
D31	QLD
D32	NSW
D32	QLD
D33	QLD
D34	NSW
D35	NSW
D35	QLD
D36	QLD
D37	QLD
D38	QLD
D39	NSW
D39	QLD
D4	NSW
D4	VIC
D40	QLD
D41	QLD
D42	QLD
D43	QLD
D44	QLD
D45	QLD
D46	QLD
D47	NSW
D48	NSW
D49	NSW
D49	QLD
D5	NSW
D5	VIC
D50	NSW
D50	QLD
D51	NSW
D51	QLD
D52	NSW
D52	QLD
D53	NSW
D53	QLD
D54	NSW
D55	NSW
D55	QLD
D56	
D57	
D58	NSW
D59	NSW
D6	NSW
D6	SA
D6.1	NSW
D60	
D61	NSW
D62	ACT
D63	
D64	NSW
D65	NSW
D66	QLD
D67	
D68	
D69	
D7	NSW
D70	
D71	
D8	NSW
D9	NSW
E1	NSW
E10	NSW
E11	NSW
E12	NSW
E13	
E14	NSW
E15	NSW
E15	QLD
E15.1	NSW
E16	NSW
E16.1	NSW
E16.2	NSW
E17	QLD
E18	NSW
E18	QLD
E19	QLD
E2	NSW
E20	QLD
E21	QLD
E22	QLD
E23	QLD
E24	QLD
E25	QLD
E26	QLD
E27	QLD
E28	QLD
E29	QLD
E3	NSW
E30	QLD
E31	QLD
E32	QLD
E33	QLD
E35	QLD
E36	QLD
E37	QLD
E38	QLD
E39	QLD
E4	NSW
E40	QLD
E41	QLD
E42	QLD
E43	QLD
E44	QLD
E45	QLD
E46	QLD
E47	QLD
E48	QLD
E49	QLD
E5	NSW
E50	QLD
E51	QLD
E52	QLD
E53	QLD
E54	
E55	QLD
E56	QLD
E57	QLD
E58	QLD
E59	QLD
E6	NSW
E60	QLD
E61	QLD
E62	QLD
E63	QLD
E64	QLD
E65	QLD
E66	QLD
E67	NSW
E68	NSW
E69	
E7	NSW
E70	NSW
E71	
E72	NSW
E73	NSW
E74	
E75	NSW
E76	QLD
E77	NSW
E78	NSW
E79	NSW
E8	NSW
E80	NSW
E81	QLD
E82	QLD
E83	QLD
E84	QLD
E85	NSW
E86	QLD
E87	QLD
E88	QLD
E89	QLD
E9	NSW
E90	QLD
E91	NSW
E92	NSW
E93	
E94	
E95	NSW
E96	
E98	
E99	NSW
G1	NT
G1	QLD
G10	QLD
G11	
G12	QLD
G12.1	NT
G12.1	QLD
G13	QLD
G14	NT
G14	QLD
G15	QLD
G16	QLD
G16.1	QLD
G17	QLD
G18	QLD
G19	QLD
G2	QLD
G20	QLD
G21	QLD
G22	QLD
G23	NT
G23	QLD
G24	QLD
G25	QLD
G26	QLD
G27	QLD
G28	QLD
G29	QLD
G3	QLD
G30	
G31	QLD
G32	QLD
G33	QLD
G34	QLD
G35	QLD
G36	QLD
G37	QLD
G38	QLD
G39	
G4	QLD
G40	SA
G41	QLD
G42	NT
G42	QLD
G43	QLD
G44	QLD
G45	QLD
G46	QLD
G47	QLD
G48	
G49	
G5	QLD
G50	QLD
G51	
G52	
G53	
G6	QLD
G7	QLD
G8	QLD
G9	QLD
G9.1	QLD
K1	WA
K10	WA
K11	WA
K12	WA
K13	WA
K14	WA
K15	WA
K16	WA
K17	WA
K18	WA
K19	WA
K2	WA
K20	WA
K21	WA
K22	WA
K23	WA
K24	
K25	WA
K26	WA
K27	
K28	
K29	WA
K3	WA
K30	NT
K30	WA
K31	
K32	WA
K33	WA
K34	NT
K34	WA
K35	WA
K36	WA
K37	
K37.1	WA
K38	
K39	WA
K4	WA
K40	
K41	
K42	
K43	WA
K44	WA
K45	
K46	
K47	
K48	WA
K49	WA
K5	WA
K50	WA
K51	WA
K52	WA
K53	WA
K54	WA
K55	WA
K56	WA
K57	
K58	
K59	
K6	WA
K60	
